role,net_mkd_month,gross_mkd_month,employer_cost_mkd_month,employer_cost_eur_month,employer_cost_usd_month,employer_cost_usd_year,notes
Growth / Product Director (owner),140000,214465,225188,3662,4273,51279,"Owns the client relationship, the model and the QA bar"
Senior Search Strategist,90000,137304,144169,2344,2736,32830,"Diagnosis, market strategy, senior judgement calls"
Automation / Data Engineer,85000,129588,136067,2213,2582,30985,"Pipelines, agents, dashboards, internal tooling"
QA Lead,70000,106440,111762,1817,2121,25450,"Portfolio review, SLA enforcement, account health"
Paid Media Specialist,65000,98724,103660,1686,1967,23605,"Budget allocation, channel QA, creative testing"
Local SEO Specialist,60000,91008,95558,1554,1813,21760,"GBP, Maps, citations, local entity work"
Growth / Data Analyst,60000,91008,95558,1554,1813,21760,"Funnel analysis, reporting, market scorecards"
Content Strategist,50000,75576,79354,1290,1506,18070,"Content planning, briefs, on-page"
Account / Project Coordinator,45000,67860,71253,1159,1352,16225,"Scheduling, client comms support, delivery tracking"
Junior SEO Executive,35000,52427,55049,895,1045,12535,"Implementation, audits, repeatable execution"
VA / Operations Assistant,32000,47798,50188,816,952,11429,"Data entry, listings, admin, reporting prep"
