location_name,city,state,territory,consumer_url,launch_date_estimate,franchise_award_date,owner_name,owner_linkedin,owner_background,single_or_multi_unit,number_of_territories_owned,status_operating_awarded_unknown,gbp_rating,gbp_reviews,maps_rank_house_cleaning,maps_rank_airbnb_cleaning,opportunity_score,operating_status_evidence,evidence_url,evidence_date,confidence,notes
MaidThis Phoenix,Phoenix,AZ,Phoenix,https://maidthis.com/phoenix/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,58.1,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/phoenix/,2026-08-26,Medium,
MaidThis Scottsdale,Scottsdale,AZ,Scottsdale,https://maidthis.com/scottsdale/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,37.9,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/scottsdale/,2026-08-26,Medium,
MaidThis Cleaning Downtown LA,Los Angeles,CA,Los Angeles (corporate),https://maidthis.com/los-angeles/,,,,,,unknown,,CORPORATE / AFFILIATE,4.6,109,2,6,37.9,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/los-angeles/,2026-08-26,High,"Corporate / affiliate operation, not a franchised territory"
MaidThis Cleaning Downtown LA,Los Angeles,CA,LA Valley,https://maidthis.com/losangelesvalley/,,,,,,unknown,,OPERATING,4.6,109,2,6,37.9,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/losangelesvalley/,2026-08-26,High,
MaidThis San Francisco,San Francisco,CA,San Francisco,https://maidthis.com/san-francisco/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,49.1,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/san-francisco/,2026-08-26,Medium,
MaidThis Cleaning of Denver,Denver,CO,Denver,https://maidthis.com/denver/,,,David Lahav,,"Founder and CEO of Lahav Media, the SEO vendor in the MaidThis stack; described as the first MaidThis franchisee; also holds Austin",multi,2,OPERATING,4.7,389,9,2,27.3,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://www.crunchbase.com/person/david-lahav,2026-08-26,High,Boulder CO is served from this territory (maidthis.com/denver/boulder-co/)
MaidThis East Tampa,Brandon,FL,East Tampa,https://maidthis.com/east-tampa/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,10.1,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/east-tampa/,2026-08-26,Medium,
MaidThis Cleaning of Cape Coral - Fort Myers,Cape Coral,FL,Cape Coral,https://maidthis.com/cape-coral/,,,,,,unknown,,OPERATING,5,38,6,4,15.7,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/cape-coral/,2026-08-26,High,
MaidThis Miami,Miami,FL,Miami,https://maidthis.com/miami/,,,Christopher Rodriguez,,,single,1,AWARDED OR NOT YET VISIBLE,,,,,46.6,Location page indexed but no MaidThis GBP found in the top 20 Maps results,USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Cleaning of St Petersburg-Clearwater,St. Petersburg,FL,St. Petersburg / Clearwater,https://maidthis.com/st-petersburg-clearwater/,,,Orlando Reyes,,,single,1,OPERATING,4.8,81,2,2,18.6,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Tampa,Tampa,FL,Tampa,https://maidthis.com/tampa/,,,Megan Hodges,,,single,1,AWARDED OR NOT YET VISIBLE,,,,,41.2,Location page indexed but no MaidThis GBP found in the top 20 Maps results,USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Cleaning West Palm Beach,West Palm Beach,FL,West Palm Beach,https://maidthis.com/west-palm-beach/,,,Maddy McDermott,,,single,1,OPERATING,4.9,629,2,2,16.9,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Cleaning of North Atlanta,Alpharetta,GA,North Atlanta,https://maidthis.com/northatlanta/,,,,,,unknown,,OPERATING,4.9,68,,20,20.2,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/northatlanta/,2026-08-26,High,
MaidThis Atlanta,Atlanta,GA,Atlanta,https://maidthis.com/atlanta/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,49.2,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/atlanta/,2026-08-26,Medium,
MaidThis Henry County,McDonough,GA,Henry County,https://maidthis.com/henry-county/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,10.4,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/henry-county/,2026-08-26,Medium,
MaidThis Chicago,Chicago,IL,Chicago,https://maidthis.com/chicago/,,,Brandon Cleeton and Sarah Osmun,,Announced publicly as new owners of MaidThis Cleaning Chicago,single,1,AWARDED OR NOT YET VISIBLE,,,,,53.0,Location page indexed but no MaidThis GBP found in the top 20 Maps results,"USER-SUPPLIED, public MaidThis announcement",2026-08-26,Medium,
MaidThis Cleaning of Carmel-Fishers,Fishers,IN,Fishers,https://maidthis.com/fishers/,,,,,,unknown,,OPERATING,4.7,81,1,1,5.5,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/fishers/,2026-08-26,High,
MaidThis Boston,Boston,MA,Boston,https://maidthis.com/boston/,,,,,,unknown,,AWARDED OR NOT YET VISIBLE,,,,,30.5,Location page indexed but no MaidThis GBP found in the top 20 Maps results,https://maidthis.com/boston/,2026-08-26,Medium,
MaidThis Cleaning of Baltimore,Baltimore,MD,Baltimore,https://maidthis.com/baltimore/,,,,,,unknown,,OPERATING,4.9,561,14,9,38.6,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/baltimore/,2026-08-26,High,
MaidThis Cleaning Minneapolis,Minneapolis,MN,Minneapolis,https://maidthis.com/minneapolis/,,,,,,unknown,,OPERATING,4.9,175,6,3,32.8,"Live MaidThis GBP found in the Maps pack (DataForSEO, 2026-08-26)",https://maidthis.com/minneapolis/,2026-08-26,High,
MaidThis Charlotte,Charlotte,NC,Charlotte,https://maidthis.com/charlotte/,,,Priyank Faldu,,,single,1,AWARDED OR NOT YET VISIBLE,,,,,44.9,Location page indexed but no MaidThis GBP found in the top 20 Maps results,USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
MaidThis Durham,Durham,NC,Durham,https://maidthis.com/durham/,,,Willem Heetderks,,,single,1,AWARDED OR NOT YET VISIBLE,,,,,25.3,Location page indexed but no MaidThis GBP found in the top 20 Maps results,USER-SUPPLIED FDD EXTRACT (2024 FDD Item 20),2026-08-26,Medium,
