slug,market,city,state,market_type,data_complete,total_msv,core_msv,str_msv,oneoff_msv,str_share_pct,weighted_cpc_usd,competition_index,maps_rank_general,maps_rank_str,gbp_rating,gbp_reviews,gbp_title,pack_median_reviews,pack_max_reviews,pack_avg_rating,strong_competitors_20,organic_rank_city_term,serp_has_local_pack,serp_has_paid,serp_item_types,score_demand,score_commercial_value,score_str_wedge,score_competitive_headroom,score_visibility_gap,score_review_deficit,score_potential,score_headroom,opportunity_score,uncaptured_msv,status,model_cpl_usd
phoenix,Phoenix,Phoenix,AZ,territory,True,2440,2060,40,340,1.6,18.86,43.1,,,,,,9,58,4.42,4,,True,False,local_pack|people_also_ask|organic|related_searches,81.4,40.6,8.0,100.0,100.0,100.0,58.1,100.0,58.1,2440,LAUNCH,188.6
chicago,Chicago,Chicago,IL,territory,True,3970,3280,40,650,1.0,11.13,30,,,,,,140,566,4.84,5,,True,True,local_pack|organic|people_also_ask|perspectives|paid|related_searches,93.0,12.8,5.0,72.8,100.0,100.0,59.5,89.1,53.0,3970,LAUNCH,111.3
atlanta,Atlanta,Atlanta,GA,territory,True,2250,1780,50,420,2.2,12.84,32.3,,,,,,89,221,4.84,2,,True,False,local_pack|organic|people_also_ask|related_searches,79.5,18.9,11.0,83.4,100.0,100.0,52.7,93.3,49.2,2250,LAUNCH,128.4
san-francisco,San Francisco,San Francisco,CA,territory,True,2030,1700,20,310,1.0,13.8,29.9,,,,,,56,663,4.83,3,,True,False,local_pack|people_also_ask|organic|related_searches,77.0,22.4,5.0,90.2,100.0,100.0,51.1,96.1,49.1,2030,LAUNCH,138.0
san-antonio,San Antonio,San Antonio,TX,territory,True,2030,1660,30,340,1.5,13.56,39,,,,,,98,340,4.95,9,,True,False,local_pack|people_also_ask|organic|related_searches,77.0,21.5,7.5,81.5,100.0,100.0,51.2,92.6,47.4,2030,LAUNCH,135.6
miami,Miami,Miami,FL,territory,True,1960,1700,50,210,2.6,7.58,29.9,,,,,,23,275,4.8,6,,True,False,local_pack|people_also_ask|organic|related_searches,76.2,0.0,13.0,97.1,100.0,100.0,47.2,98.8,46.6,1960,LAUNCH,75.8
charlotte,Charlotte,Charlotte,NC,territory,True,1600,1260,30,310,1.9,16.41,30.4,,,,,,121,454,4.8,5,,True,False,local_pack|organic|people_also_ask|related_searches,71.3,31.8,9.5,76.7,100.0,100.0,49.5,90.7,44.9,1600,LAUNCH,164.1
philadelphia,Philadelphia,Philadelphia,PA,territory,True,1900,1560,20,320,1.1,9.61,24.4,,10,4.8,130,MaidThis Cleaning of Philadelphia,105,221,4.94,5,,True,False,local_pack|people_also_ask|organic|related_searches,75.4,7.3,5.5,80.0,100.0,89.4,47.3,90.4,42.7,1900,LAUNCH,96.1
tampa,Tampa,Tampa,FL,territory,True,1260,1070,30,160,2.4,11.62,34.2,,,,,,57,372,4.82,4,,True,False,local_pack|people_also_ask|organic|related_searches,65.7,14.5,12.0,90.0,100.0,100.0,43.0,96.0,41.2,1260,LAUNCH,116.2
baltimore,Baltimore,Baltimore,MD,territory,True,1320,1070,20,230,1.5,13.69,32,14,9,4.9,561,MaidThis Cleaning of Baltimore,32,379,4.88,4,,True,False,local_pack|organic|people_also_ask|related_searches,66.8,22.0,7.5,95.2,90.0,54.4,44.5,86.7,38.6,1188,FIX,136.9
