pod_shape,accounts,price_per_account_usd,pods,people_fte,pod_labour_usd,company_labour_usd,overhead_usd,expert_budget_usd,contingency_usd,delivery_cost_usd,cost_per_account_usd,mrr_usd,arr_usd,gross_profit_usd,gross_margin_pct,breakeven_price_usd,owner_salary_usd,accounts_per_strategist
MINIMAL,40,250,1.0,4.5,4733,5334,2952,1500,1452,15971,399.27,10000,120000,-5971,-59.7,399.27,4273,40.0
MINIMAL,40,300,1.0,4.5,4733,5334,2952,1500,1452,15971,399.27,12000,144000,-3971,-33.1,399.27,4273,40.0
MINIMAL,40,350,1.0,4.5,4733,5334,2952,1500,1452,15971,399.27,14000,168000,-1971,-14.1,399.27,4273,40.0
MINIMAL,40,400,1.0,4.5,4733,5334,2952,1500,1452,15971,399.27,16000,192000,29,0.2,399.27,4273,40.0
MINIMAL,40,450,1.0,4.5,4733,5334,2952,1500,1452,15971,399.27,18000,216000,2029,11.3,399.27,4273,40.0
MINIMAL,40,500,1.0,4.5,4733,5334,2952,1500,1452,15971,399.27,20000,240000,4029,20.1,399.27,4273,40.0
MINIMAL,80,250,2.0,10.5,9466,11312,5053,3000,2883,31714,396.42,20000,240000,-11714,-58.6,396.42,4273,40.0
MINIMAL,80,300,2.0,10.5,9466,11312,5053,3000,2883,31714,396.42,24000,288000,-7714,-32.1,396.42,4273,40.0
MINIMAL,80,350,2.0,10.5,9466,11312,5053,3000,2883,31714,396.42,28000,336000,-3714,-13.3,396.42,4273,40.0
MINIMAL,80,400,2.0,10.5,9466,11312,5053,3000,2883,31714,396.42,32000,384000,286,0.9,396.42,4273,40.0
MINIMAL,80,450,2.0,10.5,9466,11312,5053,3000,2883,31714,396.42,36000,432000,4286,11.9,396.42,4273,40.0
MINIMAL,80,500,2.0,10.5,9466,11312,5053,3000,2883,31714,396.42,40000,480000,8286,20.7,396.42,4273,40.0
MINIMAL,120,250,3.0,13.5,14198,11312,6290,4500,3630,39930,332.75,30000,360000,-9930,-33.1,332.75,4273,40.0
MINIMAL,120,300,3.0,13.5,14198,11312,6290,4500,3630,39930,332.75,36000,432000,-3930,-10.9,332.75,4273,40.0
MINIMAL,120,350,3.0,13.5,14198,11312,6290,4500,3630,39930,332.75,42000,504000,2070,4.9,332.75,4273,40.0
MINIMAL,120,400,3.0,13.5,14198,11312,6290,4500,3630,39930,332.75,48000,576000,8070,16.8,332.75,4273,40.0
MINIMAL,120,450,3.0,13.5,14198,11312,6290,4500,3630,39930,332.75,54000,648000,14070,26.1,332.75,4273,40.0
MINIMAL,120,500,3.0,13.5,14198,11312,6290,4500,3630,39930,332.75,60000,720000,20070,33.4,332.75,4273,40.0
MINIMAL,150,250,3.75,17.75,17748,14785,7794,5625,4595,50546,336.98,37500,450000,-13046,-34.8,336.98,4273,40.0
MINIMAL,150,300,3.75,17.75,17748,14785,7794,5625,4595,50546,336.98,45000,540000,-5546,-12.3,336.98,4273,40.0
MINIMAL,150,350,3.75,17.75,17748,14785,7794,5625,4595,50546,336.98,52500,630000,1954,3.7,336.98,4273,40.0
MINIMAL,150,400,3.75,17.75,17748,14785,7794,5625,4595,50546,336.98,60000,720000,9454,15.8,336.98,4273,40.0
MINIMAL,150,450,3.75,17.75,17748,14785,7794,5625,4595,50546,336.98,67500,810000,16954,25.1,336.98,4273,40.0
